Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,best_criterion,best_max_features,best_max_leaf_nodes,best_splitter,ccp_alpha,criterion,cv,error_score,estimator,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_jobs,param_grid,pre_dispatch,random_state,refit,return_train_score,scoring,splitter,verbose,Accuracy score,best_cv_score,mean_fit_time,mean_score_time,mean_squared_error_X_test,mean_test_score,rank_test_score,std_fit_time,std_score_time,std_test_score,training_mean_absolute_error,training_mean_squared_error,training_r2_score,training_root_mean_squared_error,training_score,estimator_class,estimator_name
03-04-2024 16:11,1.3min,06d7348cb9764f3793134c84eb9df996,casual-cub-550,NOTEBOOK,/Users/vijaiey88@gmail.com/MLflow,vijaiey88@gmail.com,FINISHED,,,,,0,squared_error,,,,None,sqrt,None,0,1,2,0,,,,None,,,,best,,,,0.080180645,0.003887812,,-0.596228186,4,0.025964594,0.000792672,0.056749256,,,,,,sklearn.tree._classes.DecisionTreeRegressor,DecisionTreeRegressor
03-04-2024 16:11,1.3min,0b0f810909df4d108c434aa57131a2e1,nebulous-ram-631,NOTEBOOK,/Users/vijaiey88@gmail.com/MLflow,vijaiey88@gmail.com,FINISHED,,,,,0,squared_error,,,,None,None,None,0,1,2,0,,,,None,,,,best,,,,0.215373675,0.00331068,,-0.552100512,1,0.013525264,0.000249079,0.017291908,,,,,,sklearn.tree._classes.DecisionTreeRegressor,DecisionTreeRegressor
03-04-2024 16:11,1.3min,2180a575c6f0452fa4d609f968382b5f,amazing-mare-455,NOTEBOOK,/Users/vijaiey88@gmail.com/MLflow,vijaiey88@gmail.com,FINISHED,,,,,0,absolute_error,,,,None,None,None,0,1,2,0,,,,None,,,,best,,,,11.72990656,0.003529231,,-0.572448861,3,0.338772135,0.000153218,0.014833331,,,,,,sklearn.tree._classes.DecisionTreeRegressor,DecisionTreeRegressor
03-04-2024 16:11,1.3min,5f1ffa835bbf476986fa5881252491b9,redolent-midge-487,NOTEBOOK,/Users/vijaiey88@gmail.com/MLflow,vijaiey88@gmail.com,FINISHED,,,,,0,squared_error,,,,None,None,10,0,1,2,0,,,,None,,,,best,,,,0.05590264,0.001327276,,-0.597014498,5,0.002195335,0.000148838,0.01190535,,,,,,sklearn.tree._classes.DecisionTreeRegressor,DecisionTreeRegressor
03-04-2024 16:11,1.3min,8b1268e7a01f4721b616a0fe7fe8c42a,stylish-hawk-346,NOTEBOOK,/Users/vijaiey88@gmail.com/MLflow,vijaiey88@gmail.com,FINISHED,,,,,0,squared_error,,,,None,None,None,0,1,2,0,,,,None,,,,random,,,,0.042192618,0.002897104,,-0.569142715,2,0.001471367,8.53091E-05,0.044495157,,,,,,sklearn.tree._classes.DecisionTreeRegressor,DecisionTreeRegressor
03-04-2024 16:11,1.3min,9ac02215bd4142768bfe5daca9ff2a3d,righteous-duck-262,NOTEBOOK,/Users/vijaiey88@gmail.com/MLflow,vijaiey88@gmail.com,FINISHED,squared_error,None,None,best,,,3,nan,DecisionTreeRegressor(),,,,,,,,-1,"{'criterion': ['squared_error', 'absolute_error'], 'splitter': ['best', 'random'], 'max_features': ['sqrt', None], 'max_leaf_nodes': [10, None]}",2*n_jobs,,TRUE,FALSE,neg_mean_squared_error,,3,,-0.552100512,,,,,,,,,4.36E-17,9.36E-32,1,3.06E-16,-9.36E-32,sklearn.model_selection._search.GridSearchCV,GridSearchCV
03-04-2024 16:11,384ms,0e26ba17d5954d3294877e45613c43d1,redolent-ray-727,NOTEBOOK,/Users/vijaiey88@gmail.com/MLflow,vijaiey88@gmail.com,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-04-2024 15:34,7.7min,038c2f7f92aa4595a275092f55e510ed,invincible-mule-18,NOTEBOOK,/Users/vijaiey88@gmail.com/MLflow,vijaiey88@gmail.com,FINISHED,,,,,0,absolute_error,,,,None,log2,None,0,1,2,0,,,,None,,,,best,,,,5.168028593,0.003471613,,-0.587441008,5,0.652307529,0.000105998,0.030727139,,,,,,sklearn.tree._classes.DecisionTreeRegressor,DecisionTreeRegressor
03-04-2024 15:34,7.7min,0c2e3b46020a4458a10d366b6d973e9f,victorious-stork-411,NOTEBOOK,/Users/vijaiey88@gmail.com/MLflow,vijaiey88@gmail.com,FINISHED,,,,,0,absolute_error,,,,None,None,None,0,1,2,0,,,,None,,,,best,,,,11.55386504,0.003808578,,-0.558186304,4,0.397000223,0.000173324,0.018221863,,,,,,sklearn.tree._classes.DecisionTreeRegressor,DecisionTreeRegressor
03-04-2024 15:34,2.5min,1dd23925421246b5ba30d83a28e74d54,bedecked-bear-275,NOTEBOOK,/Users/vijaiey88@gmail.com/MLflow,vijaiey88@gmail.com,FINISHED,,,,,0,squared_error,,,,None,sqrt,None,0,1,2,0,,,,None,,,,best,,,,0.122991006,0.006536086,,-0.593355137,4,0.003581912,0.000519275,0.051668101,,,,,,sklearn.tree._classes.DecisionTreeRegressor,DecisionTreeRegressor
